index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
0,9.301970,5.691210,6.092150,-15.421572,-19.049558,-20.365876,0.000000,-0.000000,-0.000000
1,9.482600,6.527460,8.551860,-22.969023,-26.204914,-17.963605,0.000000,0.000000,-0.000000
2,0.029731,-4.878050,-9.331810,-16.236754,-6.179886,-16.464428,0.000000,0.000000,0.000000
3,9.293540,7.621430,9.357140,-26.758887,-28.289341,-16.150530,-0.000000,-0.000000,-0.000000
4,10.267600,6.603860,8.194710,-21.561806,-24.682719,-15.573936,-0.000000,0.000000,-0.000000
5,-1.227840,5.518300,7.081410,-7.915630,2.392803,-21.790226,-0.000000,0.000000,0.000000
6,9.269960,7.966620,8.350960,-23.554691,-25.727032,-15.007340,0.000000,-0.000000,-0.000000
7,10.032600,8.241680,7.945140,-21.962229,-24.262119,-12.328795,0.000000,-0.000000,0.000000
8,8.855680,8.891690,9.024430,-27.302870,-27.873239,-14.521746,0.000000,-0.000000,0.000000
9,5.537500,-7.978900,-4.041590,-16.566806,-6.232111,-16.273178,0.000000,0.000000,0.000000
10,4.517950,-6.785130,-3.033230,-15.589667,-5.083801,-16.643026,-0.000000,0.000000,0.000000
11,9.260650,9.122920,7.826780,-23.405455,-25.140062,-12.529340,-0.000000,0.000000,0.000000
12,0.909817,6.392030,6.887390,-7.315129,0.780168,-22.403166,-0.000000,-0.000000,-0.000000
13,-6.978580,6.104410,2.320490,-7.972170,4.216839,-21.316832,0.000000,0.000000,-0.000000
14,-0.840462,-3.520440,-4.550040,-14.206116,-2.929314,-16.998799,-0.000000,-0.000000,0.000000
15,-0.145106,-4.731170,-6.005540,-15.212121,-4.172122,-16.489381,0.000000,-0.000000,-0.000000
16,-10.823800,8.067620,2.921890,-6.663730,6.908704,-21.742834,-0.000000,-0.000000,-0.000000
17,-0.494370,7.191060,6.778080,-6.757241,1.740427,-22.572061,-0.000000,0.000000,0.000000
18,-1.702910,6.701830,5.961420,-7.201332,2.267125,-22.227322,0.000000,-0.000000,-0.000000
19,-0.324888,6.372980,8.453430,-7.146578,2.315946,-22.251494,0.000000,-0.000000,0.000000
20,0.189898,5.627360,7.240150,-7.819826,1.442683,-22.002184,0.000000,0.000000,-0.000000
21,9.250610,9.977550,7.143500,-23.081650,-23.952913,-10.091122,-0.000000,0.000000,-0.000000
22,8.601950,7.902190,6.677640,-17.722991,-21.455217,-16.888685,-0.000000,-0.000000,-0.000000
23,8.754710,6.281640,6.130450,-15.834341,-19.390608,-19.802349,0.000000,-0.000000,-0.000000
24,10.609400,6.359040,7.059640,-18.101764,-21.703609,-15.753763,-0.000000,-0.000000,-0.000000
25,10.191100,8.805760,6.623680,-18.250440,-20.670836,-11.066252,0.000000,-0.000000,0.000000
26,-1.684780,10.745700,-3.848000,-5.647113,-1.906921,-23.908644,-0.000000,0.000000,0.000000
27,-2.891070,10.039500,-3.851160,-6.132973,-1.113569,-23.474687,-0.000000,-0.000000,-0.000000
28,-3.056010,10.051100,-1.758460,-5.828819,-0.117378,-23.477707,0.000000,0.000000,0.000000
29,3.554590,-5.747330,-2.860490,-14.962690,-4.450632,-16.939727,0.000000,0.000000,-0.000000
30,-5.355040,6.686360,-2.708790,-8.199247,0.892893,-21.749862,-0.000000,-0.000000,-0.000000
31,-6.134030,5.026350,-2.434880,-9.217113,1.479124,-20.922681,0.000000,0.000000,0.000000
32,4.767520,3.666730,0.433068,-10.030893,-4.823439,-22.392318,0.000000,-0.000000,-0.000000
33,-9.930920,10.074100,7.334620,-4.872002,8.330207,-22.750659,0.000000,-0.000000,-0.000000
34,-9.782740,9.747920,6.301540,-5.200965,7.772279,-22.621740,-0.000000,0.000000,-0.000000
35,0.841820,8.466520,5.444060,-5.999486,0.217502,-23.266707,0.000000,0.000000,0.000000
36,0.236022,7.053110,6.235590,-6.918433,0.993722,-22.599868,0.000000,-0.000000,-0.000000
